,trees,strength_a,strength_b,strength_c,action_a,action_b,action_c,reward,blame_a,blame_b,blame_c,w,rationality_beta,k
357,2,2,3,3,0,1,0,5.0,0.5,0.5612296656009272,0.1887703343990727,0.5,1,1
358,2,2,3,3,0,0,1,5.0,0.5,0.1887703343990727,0.5612296656009272,0.5,1,1
359,2,2,3,3,0,0,0,0.0,0.75,0.1887703343990727,0.1887703343990727,0.5,1,1
360,2,3,1,1,1,1,1,0.0,0.7343953133131218,0.23439531331312186,0.23439531331312186,0.5,1,1
361,2,3,1,1,1,1,0,1.0,0.48439531331312186,0.23439531331312186,0.5156046866868782,0.5,1,1
362,2,3,1,1,1,0,1,1.0,0.48439531331312186,0.5156046866868782,0.23439531331312186,0.5,1,1
363,2,3,1,1,1,0,0,2.0,0.40106197997978854,0.43227135335354483,0.43227135335354483,0.5,1,1
364,2,3,1,1,0,1,1,3.0,0.26560468668687814,0.23439531331312186,0.23439531331312186,0.5,1,1
365,2,3,1,1,0,1,0,0.0,0.26560468668687814,0.23439531331312186,0.7656046866868782,0.5,1,1
366,2,3,1,1,0,0,1,0.0,0.26560468668687814,0.7656046866868782,0.23439531331312186,0.5,1,1
367,2,3,1,1,0,0,0,0.0,0.26560468668687814,0.5156046866868782,0.5156046866868782,0.5,1,1
368,2,3,1,2,1,1,1,0.0,0.5156046866868782,0.5463332999770348,0.2036667000229651,0.5,1,1
369,2,3,1,2,1,1,0,2.0,0.43227135335354483,0.46299996664370147,0.4629999666437016,0.5,1,1
370,2,3,1,2,1,0,1,1.0,0.7656046866868782,0.20366670002296514,0.2036667000229651,0.5,1,1
371,2,3,1,2,1,0,0,3.0,0.5156046866868782,0.20366670002296514,0.546333299977035,0.5,1,1
372,2,3,1,2,0,1,1,3.0,0.23439531331312186,0.7963332999770348,0.2036667000229651,0.5,1,1
373,2,3,1,2,0,1,0,0.0,0.23439531331312186,0.5463332999770348,0.546333299977035,0.5,1,1
374,2,3,1,2,0,0,1,4.0,0.23439531331312186,0.20366670002296514,0.2036667000229651,0.5,1,1
375,2,3,1,2,0,0,0,0.0,0.23439531331312186,0.20366670002296514,0.796333299977035,0.5,1,1
376,2,3,1,3,1,1,1,0.0,0.48439531331312186,0.5463332999770348,0.48439531331312186,0.5,1,1
377,2,3,1,3,1,1,0,3.0,0.40106197997978854,0.7963332999770348,0.43227135335354483,0.5,1,1
378,2,3,1,3,1,0,1,1.0,0.7343953133131218,0.20366670002296514,0.7343953133131218,0.5,1,1
379,2,3,1,3,1,0,0,4.0,0.48439531331312186,0.20366670002296514,0.5156046866868782,0.5,1,1
380,2,3,1,3,0,1,1,3.0,0.43227135335354483,0.7963332999770348,0.40106197997978854,0.5,1,1
381,2,3,1,3,0,1,0,0.0,0.5156046866868782,0.5463332999770348,0.5156046866868782,0.5,1,1
382,2,3,1,3,0,0,1,4.0,0.5156046866868782,0.20366670002296514,0.48439531331312186,0.5,1,1
383,2,3,1,3,0,0,0,0.0,0.7656046866868782,0.20366670002296514,0.7656046866868782,0.5,1,1
384,2,3,2,1,1,1,1,0.0,0.5156046866868782,0.2036667000229651,0.5463332999770348,0.5,1,1
385,2,3,2,1,1,1,0,1.0,0.7656046866868782,0.2036667000229651,0.20366670002296514,0.5,1,1
386,2,3,2,1,1,0,1,2.0,0.43227135335354483,0.4629999666437016,0.46299996664370147,0.5,1,1
387,2,3,2,1,1,0,0,3.0,0.5156046866868782,0.546333299977035,0.20366670002296514,0.5,1,1
388,2,3,2,1,0,1,1,3.0,0.23439531331312186,0.2036667000229651,0.7963332999770348,0.5,1,1
389,2,3,2,1,0,1,0,4.0,0.23439531331312186,0.2036667000229651,0.20366670002296514,0.5,1,1
390,2,3,2,1,0,0,1,0.0,0.23439531331312186,0.546333299977035,0.5463332999770348,0.5,1,1
391,2,3,2,1,0,0,0,0.0,0.23439531331312186,0.796333299977035,0.20366670002296514,0.5,1,1
392,2,3,2,2,1,1,1,0.0,0.5756774323330272,0.5156046866868781,0.5156046866868781,0.5,1,1
393,2,3,2,2,1,1,0,2.0,0.8256774323330272,0.4322713533535447,0.40106197997978854,0.5,1,1
394,2,3,2,2,1,0,1,2.0,0.8256774323330272,0.40106197997978854,0.4322713533535447,0.5,1,1
395,2,3,2,2,1,0,0,4.0,0.5756774323330272,0.4843953133131219,0.4843953133131219,0.5,1,1
396,2,3,2,2,0,1,1,3.0,0.17432256766697288,0.7656046866868781,0.7656046866868781,0.5,1,1
397,2,3,2,2,0,1,0,5.0,0.17432256766697288,0.5156046866868781,0.4843953133131219,0.5,1,1
398,2,3,2,2,0,0,1,5.0,0.17432256766697288,0.4843953133131219,0.5156046866868781,0.5,1,1
399,2,3,2,2,0,0,0,0.0,0.17432256766697288,0.7343953133131219,0.7343953133131219,0.5,1,1
400,2,3,2,3,1,1,1,0.0,0.5612296656009272,0.25,0.5612296656009272,0.5,1,1
401,2,3,2,3,1,1,0,3.0,0.8112296656009272,0.25,0.1887703343990727,0.5,1,1
402,2,3,2,3,1,0,1,2.0,0.477896332267594,0.41666666666666663,0.477896332267594,0.5,1,1
403,2,3,2,3,1,0,0,5.0,0.5612296656009272,0.5,0.1887703343990727,0.5,1,1
404,2,3,2,3,0,1,1,3.0,0.1887703343990727,0.25,0.8112296656009272,0.5,1,1
405,2,3,2,3,0,1,0,6.0,0.1887703343990727,0.25,0.1887703343990727,0.5,1,1
406,2,3,2,3,0,0,1,5.0,0.1887703343990727,0.5,0.5612296656009272,0.5,1,1
407,2,3,2,3,0,0,0,0.0,0.1887703343990727,0.75,0.1887703343990727,0.5,1,1
408,2,3,3,1,1,1,1,0.0,0.48439531331312186,0.48439531331312186,0.5463332999770348,0.5,1,1
409,2,3,3,1,1,1,0,1.0,0.7343953133131218,0.7343953133131218,0.20366670002296514,0.5,1,1
410,2,3,3,1,1,0,1,3.0,0.40106197997978854,0.43227135335354483,0.7963332999770348,0.5,1,1
411,2,3,3,1,1,0,0,4.0,0.48439531331312186,0.5156046866868782,0.20366670002296514,0.5,1,1
412,2,3,3,1,0,1,1,3.0,0.43227135335354483,0.40106197997978854,0.7963332999770348,0.5,1,1
413,2,3,3,1,0,1,0,4.0,0.5156046866868782,0.48439531331312186,0.20366670002296514,0.5,1,1
414,2,3,3,1,0,0,1,0.0,0.5156046866868782,0.5156046866868782,0.5463332999770348,0.5,1,1
415,2,3,3,1,0,0,0,0.0,0.7656046866868782,0.7656046866868782,0.20366670002296514,0.5,1,1
416,2,3,3,2,1,1,1,0.0,0.5612296656009272,0.5612296656009272,0.25,0.5,1,1
417,2,3,3,2,1,1,0,2.0,0.477896332267594,0.477896332267594,0.41666666666666663,0.5,1,1
418,2,3,3,2,1,0,1,3.0,0.8112296656009272,0.1887703343990727,0.25,0.5,1,1
