"","sID","trial","trial_ix","A_strength","B_strength","C_strength","A_choice","B_choice","C_choice","trees","fish"
"312",9,8,"32","???","???","2","???","???","???","???","???"
"313",9,9,"16","???","???","???","???","???","fish","???","???"
"314",9,10,"26","???","???","???","trees","???","???","???","???"
"315",9,11,"25","???","???","???","???","trees","???","???","???"
"316",9,12,"att1","???","???","???","???","???","???","???","4"
"317",9,13,"17","???","???","???","fish","???","fish","1 tree","???"
"318",9,14,"13","???","???","???","???","trees","???","???","???"
"319",9,15,"7","???","1","???","???","???","???","???","???"
"320",9,16,"14","???","???","???","???","???","fish","???","???"
"321",9,17,"35","???","???","???","trees","???","???","???","???"
"322",9,18,"6","3","???","???","???","???","???","???","???"
"323",9,19,"18","2","2","???","???","???","???","???","???"
"324",9,20,"15","???","???","???","???","fish","???","???","???"
"325",9,21,"3","???","???","???","???","???","???","1 tree","???"
"326",9,22,"1","???","???","???","???","???","???","1 tree","???"
"327",9,23,"5","???","???","???","???","???","???","3 trees","???"
"328",9,24,"att2","???","???","???","???","???","???","???","0"
"329",9,25,"24","???","???","???","???","???","???","1 tree","???"
"330",9,26,"30","???","???","???","fish","trees","???","???","???"
"331",9,27,"4","???","???","???","???","???","???","2 trees","???"
"332",9,28,"33","???","2","???","???","???","???","???","???"
"333",9,29,"27","???","???","???","???","fish","???","???","???"
"334",9,30,"12","???","???","???","fish","???","???","???","???"
"335",9,31,"8","???","???","3","???","???","???","???","???"
"336",9,32,"20","???","???","3","???","???","???","???","???"
"337",9,33,"34","???","???","2","???","???","???","???","???"
"338",9,34,"9","???","2","???","???","???","???","???","???"
"339",9,35,"28","???","???","???","???","trees","fish","???","???"
"340",9,36,"10","???","???","1","???","???","???","???","???"
"341",9,37,"22","???","???","???","???","???","???","1 tree","???"
"342",9,38,"11","???","???","???","trees","???","???","???","???"
"343",10,1,"6","1","???","???","???","???","???","???","???"
"344",10,2,"32","???","???","2","???","???","???","???","???"
"345",10,3,"4","???","???","???","???","???","???","3 trees","???"
"346",10,4,"10","???","???","1","???","???","???","???","???"
"347",10,5,"11","???","???","???","trees","???","???","???","???"
"348",10,6,"29","???","???","???","trees","???","fish","???","???"
"349",10,7,"12","???","???","???","trees","???","???","???","???"
"350",10,8,"14","???","???","???","???","???","trees","???","???"
"351",10,9,"13","???","???","???","???","fish","???","???","???"
"352",10,10,"0","???","???","???","???","???","???","3 trees","???"
"353",10,11,"5","???","???","???","???","???","???","3 trees","???"
"354",10,12,"att1","???","???","???","???","???","???","???","4"
"355",10,13,"22","???","???","???","???","???","???","3 trees","???"
"356",10,14,"20","???","???","3","???","???","???","???","???"
"357",10,15,"15","???","???","???","???","trees","???","???","???"
"358",10,16,"1","???","???","???","???","???","???","2 trees","???"
"359",10,17,"16","???","???","???","???","???","fish","???","???"
"360",10,18,"26","???","???","???","trees","???","???","???","???"
"361",10,19,"3","???","???","???","???","???","???","3 trees","???"
"362",10,20,"21","???","???","???","trees","trees","???","???","???"
"363",10,21,"24","???","???","???","???","???","???","3 trees","???"
"364",10,22,"8","???","???","1","???","???","???","???","???"
"365",10,23,"33","???","2","???","???","???","???","???","???"
"366",10,24,"att2","???","???","???","???","???","???","???","6"
"367",10,25,"30","???","???","???","trees","trees","???","???","???"
"368",10,26,"17","???","???","???","trees","???","trees","2 trees","???"
"369",10,27,"28","???","???","???","???","fish","trees","???","???"
"370",10,28,"25","???","???","???","???","fish","???","???","???"
"371",10,29,"23","???","???","???","???","???","???","3 trees","???"
"372",10,30,"9","???","2","???","???","???","???","???","???"
"373",10,31,"7","???","2","???","???","???","???","???","???"
"374",10,32,"31","???","???","???","???","trees","trees","???","???"
"375",10,33,"27","???","???","???","???","trees","???","???","???"
"376",10,34,"18","2","1","???","???","???","???","???","???"
"377",10,35,"34","???","???","2","???","???","???","???","???"
"378",10,36,"2","???","???","???","???","???","???","2 trees","???"
"379",10,37,"35","???","???","???","fish","???","???","???","???"
"380",10,38,"19","???","3","???","???","trees","???","???","???"
"381",11,1,"33","???","3","???","???","???","???","???","???"
"382",11,2,"19","???","3","???","???","fish","???","???","???"
"383",11,3,"18","1","1","???","???","???","???","???","???"
"384",11,4,"12","???","???","???","fish","???","???","???","???"
"385",11,5,"11","???","???","???","trees","???","???","???","???"
"386",11,6,"14","???","???","???","???","???","fish","???","???"
"387",11,7,"22","???","???","???","???","???","???","2 trees","???"
"388",11,8,"20","???","???","3","???","???","???","???","???"
"389",11,9,"17","???","???","???","fish","???","trees","2 trees","???"
"390",11,10,"3","???","???","???","???","???","???","1 tree","???"
"391",11,11,"7","???","1","???","???","???","???","???","???"
"392",11,12,"att1","???","???","???","???","???","???","???","4"
"393",11,13,"9","???","2","???","???","???","???","???","???"
"394",11,14,"23","???","???","???","???","???","???","3 trees","???"
"395",11,15,"27","???","???","???","???","fish","???","???","???"
"396",11,16,"2","???","???","???","???","???","???","3 trees","???"
"397",11,17,"10","???","???","2","???","???","???","???","???"
"398",11,18,"26","???","???","???","trees","???","???","???","???"
"399",11,19,"16","???","???","???","???","???","trees","???","???"
"400",11,20,"5","???","???","???","???","???","???","3 trees","???"
"401",11,21,"32","???","???","1","???","???","???","???","???"
"402",11,22,"28","???","???","???","???","trees","trees","???","???"
"403",11,23,"35","???","???","???","trees","???","???","???","???"
"404",11,24,"att2","???","???","???","???","???","???","???","0"
"405",11,25,"1","???","???","???","???","???","???","2 trees","???"
"406",11,26,"13","???","???","???","???","fish","???","???","???"
"407",11,27,"21","???","???","???","trees","fish","???","???","???"
"408",11,28,"4","???","???","???","???","???","???","1 tree","???"
"409",11,29,"0","???","???","???","???","???","???","1 tree","???"
"410",11,30,"8","???","???","1","???","???","???","???","???"
"411",11,31,"24","???","???","???","???","???","???","3 trees","???"
"412",11,32,"31","???","???","???","???","fish","fish","???","???"
"413",11,33,"29","???","???","???","fish","???","trees","???","???"
"414",11,34,"25","???","???","???","???","trees","???","???","???"
"415",11,35,"15","???","???","???","???","fish","???","???","???"
"416",11,36,"6","3","???","???","???","???","???","???","???"
"417",11,37,"34","???","???","2","???","???","???","???","???"
"418",11,38,"30","???","???","???","trees","fish","???","???","???"
"419",12,1,"11","???","???","???","trees","???","???","???","???"
"420",12,2,"2","???","???","???","???","???","???","1 tree","???"
"421",12,3,"13","???","???","???","???","fish","???","???","???"
"422",12,4,"33","???","2","???","???","???","???","???","???"
"423",12,5,"15","???","???","???","???","fish","???","???","???"
"424",12,6,"30","???","???","???","fish","trees","???","???","???"
"425",12,7,"18","1","1","???","???","???","???","???","???"
"426",12,8,"3","???","???","???","???","???","???","3 trees","???"
"427",12,9,"21","???","???","???","fish","trees","???","???","???"
"428",12,10,"12","???","???","???","trees","???","???","???","???"
"429",12,11,"31","???","???","???","???","trees","fish","???","???"
"430",12,12,"att1","???","???","???","???","???","???","???","4"
"431",12,13,"32","???","???","2","???","???","???","???","???"
"432",12,14,"26","???","???","???","fish","???","???","???","???"
"433",12,15,"28","???","???","???","???","fish","fish","???","???"
"434",12,16,"19","???","3","???","???","fish","???","???","???"
"435",12,17,"10","???","???","1","???","???","???","???","???"
"436",12,18,"24","???","???","???","???","???","???","1 tree","???"
"437",12,19,"1","???","???","???","???","???","???","1 tree","???"
"438",12,20,"9","???","1","???","???","???","???","???","???"
